Region,Country/Year,2012,2013,2014,2015,2016,2017,2018 (P),% share in 2018
North America,Canada,324.7,337,341.8,339,338.2,343.7,344.4,2.5
North America,Mexico,184.2,185,184.1,184,186.4,189.3,186.9,1.3
North America,US,2148.5,2208,2232.9,2213.2,2212.7,2222.5,2300.6,16.6
North America,Total North America,2657.4,2730.1,2758.9,2736.2,2737.2,2755.5,2832,20.4
S. & Cent. America,Argentina,81,84.5,84.1,86.1,85.9,86.1,85.1,0.6
S. & Cent. America,Brazil,281.3,292.4,299.4,295.9,289.4,293.9,297.6,2.1
S. & Cent. America,Chile,35.3,35.7,35.1,35.9,37.7,38.3,40.1,0.3
S. & Cent. America,Colombia,38.3,38.9,41,41.3,44.2,45.5,46.9,0.3
S. & Cent. America,Ecuador,14.8,15.3,16.1,16.1,16,16.7,17.6,0.1
S. & Cent. America,Peru,21.3,21.9,22.6,24.2,25.5,25.4,27,0.2
S. & Cent. America,Trinidad & Tobago,16.7,17.2,16.8,16.9,15.4,15.2,15.3,0.1
S. & Cent. America,Venezuela,86.9,84.9,82.1,79.3,72.3,73.6,64.6,0.5
S. & Cent. America,Central America,26.3,26.6,27.5,29.9,31.3,32.1,33.7,0.2
S. & Cent. America,Other Caribbean,40.5,39.4,39.5,40.3,41.6,41.7,42.4,0.3
S. & Cent. America,Other South America,28.2,29.1,28.7,29.3,31.7,31.3,31.7,0.2
S. & Cent. America,Total S. & Cent. America,670.9,685.9,692.9,695.3,691.1,699.8,702,5.1
Europe,Austria,35,34.7,33.3,33.4,34.6,35.5,35,0.3
Europe,Belgium,60.7,62.2,58.2,59.1,63.9,64.1,62.2,0.4
Europe,Bulgaria,18.4,17,18.1,19.3,18.3,18.7,18.6,0.1
Europe,Croatia,7.5,8.2,8.2,7.8,8.1,8.1,8.6,0.1
Europe,Cyprus,2.7,2.4,2.4,2.5,2.7,2.8,2.8,^
Europe,Czech Republic,42.8,42.1,41.2,40.5,39.9,41.8,42.1,0.3
Europe,Denmark,17.3,18.1,17.5,16.9,17.1,17.2,17,0.1
Europe,Estonia,6.4,6.6,6.5,6,6.1,6.6,6.9,^
Europe,Finland,28.8,29.1,28.1,28,28.8,28.1,29.3,0.2
Europe,France,247.3,250.1,240.4,241.9,238.4,237.5,242.6,1.7
Europe,Germany,320.5,329.8,316.4,322.5,328.1,333.9,323.9,2.3
Europe,Greece,30,28.5,26.8,27,26.6,28,28.3,0.2
Europe,Hungary,21.9,20.9,21,22,22.4,23.5,23.7,0.2
Europe,Iceland,4.8,5,5,5.2,5.3,5.5,5.6,^
Europe,Ireland,14.4,14.1,14.1,14.9,15.6,15.7,16.1,0.1
Europe,Italy,165.8,158.2,149.7,153.1,154.7,156.3,154.5,1.1
Europe,Latvia,3.9,3.8,3.5,3.5,3.8,4.1,3.7,^
Europe,Lithuania,5.9,5.4,5.2,5.5,5.6,5.9,5.8,^
Europe,Luxembourg,4.1,3.9,3.8,3.7,3.6,3.8,4,^
Europe,Netherlands,90.6,87.9,83.1,84.1,85.7,84.5,84.8,0.6
Europe,North Macedonia,2.7,2.6,2.4,2.5,2.6,2.5,2.6,^
Europe,Norway,47.3,44.3,45.7,46.5,47.2,47.6,47.4,0.3
Europe,Poland,97.5,97.8,94.2,95.2,99.4,103.4,105.2,0.8
Europe,Portugal,22.6,24.7,24.9,24.8,26.2,25.8,26,0.2
Europe,Romania,33.6,31.4,32.7,32.8,32.8,33.4,33.4,0.2
Europe,Slovakia,16.2,16.9,15.5,15.7,15.8,16.7,16.3,0.1
Europe,Slovenia,7,6.9,7.1,6.4,6.9,6.9,7,0.1
Europe,Spain,143.2,135.9,133.5,135.4,136.9,138.8,141.4,1
Europe,Sweden,54.7,51.5,51.5,53.3,52.6,54.4,53.6,0.4
Europe,Switzerland,29.4,30.3,29,28.4,26.8,26.9,27.8,0.2
Europe,Turkey,122.3,121.5,125.4,137.2,144.6,152.7,153.5,1.1
Europe,Ukraine,123.1,117.3,103.2,85.7,89.8,83.4,84,0.6
Europe,United Kingdom,204.8,204.1,192.5,195.1,193.5,193.2,192.3,1.4
Europe,Other Europe,39.2,41.5,38.2,40.7,43.3,42.8,44.7,0.3
Europe,Total Europe,2072.3,2054.7,1978.3,1996.8,2027.5,2050,2050.7,14.8
CIS,Azerbaijan,12.8,13.2,13.5,14.7,14.6,14.3,14.4,0.1
CIS,Belarus,28,24.7,25.5,23.2,23,23.4,24.6,0.2
CIS,Kazakhstan,62.7,63.5,64.4,63.7,64.7,67.6,76.4,0.6
CIS,Russian Federation,693.8,685.5,688.3,675.4,690.5,694.3,720.7,5.2
CIS,Turkmenistan,26,23.1,23.9,28.6,27.5,28.7,31.5,0.2
CIS,USSR,NA,NA,NA,NA,NA,NA,NA,NA
CIS,Uzbekistan,45.5,45.2,47.1,44.9,43.6,45,43.9,0.3
CIS,Other CIS,18,17.1,17.5,17.4,17.5,18,19,0.1
CIS,Total CIS,886.7,872.1,880.3,867.9,881.5,891.2,930.5,6.7
Middle East,Iran,226.2,237.9,249,249.2,257.2,272,285.7,2.1
Middle East,Iraq,39,42,40.2,40.1,46.2,47.1,53.7,0.4
Middle East,Israel,25.3,23.5,23.1,24.4,24.8,25.6,25.6,0.2
Middle East,Kuwait,37.3,38.7,35.4,38.5,38.9,38.7,39,0.3
Middle East,Oman,24.5,27.4,27.3,28.8,29,29.3,30.7,0.2
Middle East,Qatar,37.9,40.8,43.9,48.2,47.6,48.9,48.3,0.3
Middle East,Saudi Arabia,233.1,234,250.8,259,262.2,262.8,259.2,1.9
Middle East,United Arab Emirates,92.8,97.8,97.4,107.1,111.1,109,112.2,0.8
Middle East,Other Middle East,51.1,50.3,50.1,48.4,48,48,47.9,0.3
Middle East,Total Middle East,767.3,792.5,817.2,843.7,864.9,881.4,902.3,6.5
Africa,Algeria,43.6,46.2,50.4,53.1,53,53.1,56.7,0.4
Africa,Egypt,83.8,83.2,83,85.3,89.9,92.6,94.5,0.7
Africa,Morocco,17.8,18.3,18.6,18.9,19.1,20,21,0.2
Africa,South Africa,122.7,123.2,124.8,121.9,123.9,121.8,121.5,0.9
Africa,Eastern Africa,40,43.5,48.1,50.3,49.5,52,54.1,0.4
Africa,Middle Africa,18.5,19.7,20.7,20.2,21.1,21.9,22.9,0.2
Africa,Western Africa,42.9,43.5,45,51.7,54.9,57.5,60.3,0.4
Africa,Other Northern Africa,25.8,27.8,27.4,24,23.1,24.4,25.4,0.2
