"Circle","Indian Money Orders Issued and paid in India (in lakh) - 2009-10","Indian Money Orders Issued and paid in India (in lakh) - 2010-11","Indian Money Orders Issued and paid in India (in lakh) - 2011-12","Amount of Indian Money Orders Issued and paid in India (in Rs. Crore) - 2009-10","Amount of Indian Money Orders Issued and paid in India (in Rs. Crore) - 2010-11","Amount of Indian Money Orders Issued and paid in India (in Rs. Crore) - 2011-12"
" Andhra Pradesh","16.22","15.92","13.55","241.70","207.81","191.47"
" Assam","5.12","2.66","2.51","43.49","49.41","63.70"
" Bihar","5.61","2.41","2.50","73.76","66.68","71.50"
" Chhattisgarh","1.60","2.96","2.56","37.90","47.33","59.28"
" Delhi","10.53","9.30","7.60","136.50","154.83","134.62"
" Gujarat ","19.99","13.76","5.90","234.24","342.04","339.10"
" Haryana","42.56","2.93","2.27","63.63","82.04","65.32"
" Himachal Pradesh","4.31","10.53","9.14","133.63","137.20","126.79"
" Jammu & Kashmir","2.71","2.30","1.90","34.21","31.06","30.00"
" Jharkhand","4.58","2.11","2.26","54.33","43.22","35.44"
" Karnataka","229.75","172.22","144.35","1615.97","1774.30","1873.38"
" Kerala ","45.14","22.23","11.41","934.66","1273.51","1479.62"
" Madhya Pradesh","7.11","4.74","4.56","89.20","92.72","73.10"
" Maharashtra","51.42","23.96","41.36","613.13","668.50","613.14"
" North Eastern","5.87","3.22","3.91","49.92","39.08","33.44"
" Orissa","10.21","9.22","7.25","83.81","71.06","74.98"
" Punjab ","9.13","9.70","9.25","134.09","135.65","116.93"
" Rajasthan","39.19","42.21","57.34","462.18","598.59","739.17"
" Tamil Nadu ","230.98","177.35","335.51","1585.38","1747.06","3440.45"
" Uttar Pradesh","14.64","11.19","10.71","236.36","203.86","226.11"
" Uttarakhand","6.66","5.42","3.01","117.58","91.59","70.08"
" West Bengal ","41.19","26.29","18.91","350.12","341.63","296.82"
