"Year","Indian Money Orders Issued and paid in India (in lakh)","Amount of Indian Money Orders Issued and paid in India (in Rs. Crore)","Foreign Money Orders issued & paid in India - Outward paid (number)","Foreign Money Orders issued & paid in India - Inward paid (number)","Foreign Money Orders issued & paid in India - Outward Issued Amount (in Rs. Thousand)","Foreign Money Orders issued & paid in India - Inward Paid Amount (in Rs. Thousand)"
"2000-01","109571","585184","5265","45838","6240","184341"
"2001-02","112229","618826","5031","43956","6673","208757"
"2002-03","105078","865000","5035","42573","7693","226617"
"2003-04","110195","687502","4676","43433","7809","236492"
"2004-05","101644","705217","4136","41453","7390","248166"
"2005-06","95830","718343","3653","36129","6903","231535"
"2006-07","99130","775671","3324","26693","6324","159994"
"2007-08","91069","836306","3183","19801","6124","102303"
"2008-09","86711","795477","2792","14717","5047","84977"
"2009-10","81359","736135","2350","10491","5830","61343"
